"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
53,61.65,27.53,180,-23.26,-79.52,-119.8,-6.611,25.97,-90.53,-5.475,109.3,-11.41,-151,62.74,-115.9,-25.47,38.08,-55.27,-173.7,79.27,93.63,24.84,46.76,-21.54,-2.336,180,43.54,2.32,NA,4.53,-1.36,1.08
-108.6,-104.3,-116.9,-90,-281.3,106.5,74.25,22.46,-185.4,72.06,-54.98,-58.85,225.8,15.35,-137.7,135,6.275,-82.86,181,-87.89,-175.4,63.66,-232.5,79.21,-207.7,-89.23,0,-86.28,-3.89,-4.79,1.32,4.39,-0.2
-147.4,NA,-74.05,-240,0,126.1,95.59,-32.6,-86.69,137.6,34.65,-37.8,111.3,-80.67,-158.2,122.6,-10.03,-9.012,123.9,-18.45,-102.2,-35.08,-150.9,136.7,-70.63,105.1,-250,-115.8,-1.1,-3.93,0.68,4.89,2.36
84.21,70.23,-29.14,100,-100,-89.39,-69.84,66.5,-74.62,-37.08,28.55,-93.94,125.2,-20.42,50.04,-53.1,54.38,-120.1,-10.12,-0.8146,138.2,-108.5,-11.42,-41.37,6.418,-70.38,140,58.42,-3.61,-2.9,-1.92,-4.26,-2.73
230.9,218.6,-5.497,250,10,-39.2,-101.9,-87.5,59.56,-80.66,-254.4,138.2,-154.1,-124,122.8,-102.6,-277.5,103.6,-169.4,-245.5,-48.95,86.15,16.25,136.3,33.3,-27.52,240,180,3.33,4.54,-2.66,4.1,-1.9
-102,-101,-47.84,-20,-195.7,92.68,68.91,85.47,-191,61.26,63.92,-106.8,148.8,141.5,-132.4,88.4,28.29,-123.1,165.6,116,-123.7,49.96,-180.3,-122.3,-5.23,-68.53,50,-80.5,-3.45,-0.68,-4.28,1.53,-2.84
0,-6.25,-54.18,20,-18.52,-34.27,-37.82,-36.73,107.1,-34.38,108.4,51.68,-13.96,-130.6,52.69,-37.84,146.5,-22.9,60.16,-22.86,112,72.09,147.9,28.03,130.1,122.9,20,-3.057,1.33,3.01,-4.34,-2.76,3.33
98.29,85.91,-36.7,60,-145.2,-78.53,-75.31,68.49,-102.4,-33.81,5.213,-31.95,106.5,40.34,20.6,-42.95,53.63,-66.06,75.45,51.43,27.38,-178.3,-53.04,-29.59,-56.42,-103,100,50.29,2.2,-0.12,2.15,-0.36,-4.2
-113.2,-104.4,-86.75,-130,-375,93.28,38.07,103.8,-276.1,45.34,25.94,-116.9,135.4,130.3,-164,109.1,30.97,-48.64,133.9,83,-166.5,80.57,-279.2,-27.8,-187.4,-130.6,-60,-88.11,1.46,-4.51,0.42,-0.83,1.43
250,231.6,-32.38,230,-10.42,-16.47,-87.91,11.05,9.078,-57.92,-119.6,124.3,-129.7,-88.71,107.6,-129.2,-198,123.4,-183.5,-232.6,-69.93,175.2,32.27,129.4,28.75,53.72,230,163.4,-3.15,-3.65,1.3,3.43,-2.36
110.4,91.96,46.4,70,-140.6,-20.06,-87.91,39.63,-86.18,31.68,60.97,-59.19,133.8,28.41,-47.42,-49.52,-18.26,-42.1,-14.46,52.87,-34.41,-115.2,-96.36,-60.38,-11.89,-56.28,120,53.96,4.47,2.29,4.26,0.76,0.49
253.6,218.7,67.92,240,0,-2.073,-92.11,-27.09,93.55,-68.76,28.9,148.8,-47.76,-157,151.3,-116.5,-101.9,154.6,-192.5,-264.2,82.51,91.32,74.59,209.3,25.72,18.4,230,139.5,-0.83,-0.82,2.33,1.19,-3.12
-91.88,-86.38,-2.866,-20,-239.1,103.2,46.46,141.1,-143.7,95.16,98.96,-137.8,149.8,184.6,-68.13,97.66,86.46,-133.6,127.6,62.91,-110.3,125.4,-171.1,-57.16,-36.1,-112.6,60,-81.5,2.29,3.69,-1.65,1.49,0.82
19.23,9.615,-23.89,10,-115.4,49.2,-45.92,135.8,13.87,40.52,177.9,-41.48,37.39,-85.46,56.09,52.11,84.89,-115.4,79.04,-18.87,-46.62,159.1,161.9,-33.17,229.8,112.2,10,-1.526e-05,4.49,2.51,-0.9,-4.93,4.18
-138.9,-124.6,-111.1,-170,-250,77.08,46.46,16.79,-71.8,114.4,34.82,-19.23,96.83,-128.8,-46.24,205.4,-37.8,-69.69,53.87,-97.78,-104,-56.02,-91.73,188.5,-99.22,58.5,-90,-106.5,-0.91,4.69,-4.23,-0.77,1.33
10.68,1.665,29.76,10,-38.46,26.71,-41.72,31.71,-55.62,1.546,106.4,87.94,95.22,-86.54,-135,-83.68,-69.06,18.87,-0.9773,NA,-79.55,17.47,123.9,55.28,76.31,136.9,90,-9.545,-1.88,-2.66,-4.02,3.69,-2.43
-147.6,-136.3,-82.99,0,-120,51.88,77.5,-49.11,30.49,99.11,18.01,-19.35,52.93,-104.4,-6.596,170.6,-26.21,5.813,20.72,-55.45,-119.8,-78.18,-60.67,108.8,7.616,152.4,70,-115.5,-1.29,-3.11,4.8,4.01,0.51
102.7,97.42,-2.828,110,-125,-98.29,-91.48,88.07,-59.01,-38.65,45.32,-72.58,124.7,-33.55,-47.67,-116.8,69.55,-104.1,43.66,45.46,65.15,-140.5,-8.182,-41.72,44.81,NA,110,85.67,-2.23,-4.64,-3.08,2.42,-2.82
-101.3,-93.43,-21.16,-50,-225,73.46,12.09,50.57,-105.3,96.81,6.933,-38.17,126.8,-18.04,-165.9,78.77,-1.013,-67.79,152.3,45.46,-114.9,-99.54,-237.3,38.16,-140.7,9.742,-10,-77.26,1.91,4.03,-3.99,2.7,-1.37
239.5,225,42.37,230,-10.42,-78.5,-107.8,-29.67,97.62,-66.96,10.62,111.8,-62.92,-139.9,71.36,-94.34,-66.53,107.4,-106.2,-279.7,75.33,43.56,17.67,86.39,-5.7,-77.97,230,174,-0.73,-0.03,-1.05,-4.2,-0.47
-99.23,-92.38,-84.39,-20,-217.4,54.58,44.79,41.02,-211.8,41.71,38.68,-88.15,126.8,153.7,-130.7,48.83,111.1,-60.34,179.8,146.4,-152.9,3.691,-188.7,-90.53,-17.64,-68.02,30,-74.81,-3.23,1.4,-4.59,-1.55,-0.32
98.53,95.32,-5.604,120,-81.08,-135.2,-80.58,42.84,1.946,-46.68,-21.12,-45.31,69.34,-73.43,95.67,-92.34,29.23,-62.2,54.37,-21.82,80.19,24.34,-33.64,16.96,-14.88,-70.23,110,77.61,-4.06,0.59,2.99,2.42,-1.47
240.2,228.6,3.552,240,-20.41,-52.43,-96.93,-22.74,89.14,-42.47,-4.14,83.22,NA,-200.8,141.8,-69.9,55.69,12.33,-130.7,-192.8,159.4,187,30.2,77.09,8.075,13.8,250,130.2,-3.34,-3.09,0.81,4.5,-1.52
4.558,2.279,-12.97,10,-96.15,38.39,-31.52,137.3,9.662,-0.7653,185.6,57.9,48.83,-96.69,68.84,5.433,141.4,-60.34,86.49,-38.63,NA,90.9,132.4,11.15,106.3,125.8,10,-0.1752,-4.48,1.38,-3.2,-2.16,-2.86
-8.766,-1.093,-30.94,10,-38.46,-2.072,-36.97,42.16,43.61,-36.35,212.2,0.7761,73.44,-67.89,-2.405,-23,174.1,-94.81,98.72,13.22,82.85,88.41,128.9,-5.412,190.4,120.7,40,2.278,-0.23,1.91,-1.44,-2.6,-2.57
-85.62,-83.35,-49.04,0,-120,13.76,32.33,-65.35,-55.19,76.62,-45.77,-120.1,64.88,35.3,-171.8,65.32,-55.67,-95.62,102.4,63.41,-44.12,-48.5,-147.3,-71.02,-78.54,-152.7,70,-68.58,-3.88,-1.48,-2.86,-1.46,-0.37
-98.55,-93.2,-28.83,0,-140,99.06,45,-32.72,-73,120.3,53.24,-29.76,127.6,-14.94,-41.76,47.17,100.5,17.16,149.1,30.12,-121.2,-38.5,-139.8,29.81,28.82,71.46,90,-79.1,3.59,-4.02,-2.79,-0.93,-4.84
106.9,87.25,50.84,120,-54.05,-90.92,-81.76,-33.5,-35.76,-39.93,-42.96,-42.44,52.82,37.87,21.49,-55.27,-16.41,5.527,17.7,14.15,-35.93,-164.1,9.133,-153.2,3.367,-106.1,140,50.44,-3.88,4.8,3.89,3.08,-3.43
15.6,11.18,-64.2,0,-60,-11.44,-31.06,35.16,38.72,-5.782,84.06,9.867,-116,-107.7,71.38,47.17,42.06,-62.5,1.412,-88.37,105.8,152.1,103.6,8.789,57.51,63.19,10,6.894,4.54,-1.03,2.03,-1.33,-2.66
228.7,192,42.97,240,20.41,-118.1,-107.1,-157,132.6,-79.54,-122.4,25.72,-207.7,-78.06,62.47,-33.85,-92.42,26.12,-98.51,-120.3,72.51,0.7585,43.23,-41.82,41.78,-159,240,97.97,3.64,4.63,-1.45,1.37,-2.87
227.9,198.4,48.12,240,-20.41,-109.3,-113.5,17.22,7.144,-30.82,-117.7,-17.08,-11.09,-139.9,158.7,-30.59,-132.5,-49.07,-68.1,-161.6,-71.11,12.54,25.99,-60.12,-23.01,-130.2,240,97.61,4.74,-2.08,-1.8,-3.56,0.65
-141.2,-134.8,-14.96,50,-116.7,56.41,95.71,-41.54,33.86,116.2,-7.472,-35.31,48,-141.2,14.36,146.3,-50.66,20.74,0.3258,-33.78,-106.3,-35.29,-90.82,184,-6.814,85.01,90,-111,4.84,-4.92,3.96,3.59,NA
-20.93,-20.6,32.97,10,-76.92,9.886,-31.06,114.5,-85.95,-14.43,89.67,83.57,9.406,-56.16,-39.98,31.34,141.5,50.28,108.9,-41.77,-21.95,16.11,76.16,1.002,-36.43,87.99,40,-19.96,1.96,-2.36,-3.41,0.03,2.05
-91.61,-79.14,-131.2,-90,-156.3,43.71,59.96,-11.64,-179.2,32.36,56.03,-96.54,98.11,137.7,-230.8,42.19,59.08,-57.26,148.4,3.412,-189.3,28.12,-161.1,-169,-47.86,-78.78,-30,-56.09,-3.99,2.36,1.36,1.4,-3.56
13.98,19.49,-7.912,90,-73.53,15.9,-45.86,156.8,-89.66,-14.36,72.7,77.25,84.67,149.8,8.793,3.686,-74.7,46.68,-51.17,278.8,-113.8,11.66,3.999,-28.74,89.97,73.18,120,10.22,-3.98,1.6,0.95,1.85,-1.92
-141.3,-116.5,-65.35,-70,-166.7,93.96,82.24,64.57,-75.94,97.46,48.88,-4.425,126.1,-101.7,2.522,152,-109.4,-60.61,-37.71,-99.43,-159.8,-20.47,-63.73,105.4,-74.98,128.4,20,-92.37,3.75,-1.46,-2.48,-0.82,1.31
6.211,3.106,-1.42,150,12.5,-3.344,-18.01,-46.17,35.4,-60.08,-1.926,228.2,-31.85,-6.211,10.05,-16.08,4.575,52.26,-59.01,73.13,20.62,35.18,16.42,9.025,-15.84,27.75,190,3.962,4.48,3.39,0.71,-3.38,-1.65
215.1,232.5,-15.2,230,0,-60.02,-107.1,-14.07,32.98,-204.7,-122.6,220.6,-87.86,-7.557,55.82,-184.7,-27.13,74.62,43.01,-179.6,-41.85,202.5,21.23,-51.2,25.95,-51.76,230,166.2,3.69,-4.41,0.76,0.34,-3.59
-66.77,-58.39,-27.69,-40,-119,-18.31,-1.304,-137,-30.76,45.28,-108.3,-88,-19.52,24.73,-90.29,76.52,-60.83,-46.08,68.79,-54.11,-5.869,-132.5,-96.2,-57.71,-174.6,-143.4,40,-43.99,-2.79,1.52,2.35,-4.39,-1.9
